id,train,val,test
kitchen_0002.jpg,0,1,0
kitchen_0003.jpg,1,0,0
kitchen_0004.jpg,1,0,0
kitchen_0005.jpg,0,0,1
kitchen_0006.jpg,0,0,1
kitchen_0008.jpg,1,0,0
kitchen_0009.jpg,0,0,1
kitchen_0010.jpg,1,0,0
kitchen_0011.jpg,1,0,0
kitchen_0012.jpg,1,0,0
kitchen_0013.jpg,1,0,0
kitchen_0014.jpg,0,0,1
kitchen_0015.jpg,1,0,0
kitchen_0018.jpg,0,0,1
kitchen_0019.jpg,1,0,0
kitchen_0020.jpg,1,0,0
kitchen_0022.jpg,1,0,0
kitchen_0023.jpg,1,0,0
kitchen_0024.jpg,1,0,0
kitchen_0025.jpg,1,0,0
kitchen_0026.jpg,0,1,0
kitchen_0028.jpg,1,0,0
kitchen_0029.jpg,1,0,0
kitchen_0030.jpg,1,0,0
kitchen_0031.jpg,1,0,0
kitchen_0032.jpg,0,0,1
kitchen_0033.jpg,1,0,0
kitchen_0035.jpg,0,0,1
kitchen_0039.jpg,0,0,1
kitchen_0040.jpg,0,0,1
kitchen_0041.jpg,1,0,0
kitchen_0042.jpg,1,0,0
kitchen_0044.jpg,1,0,0
kitchen_0045.jpg,1,0,0
kitchen_0047.jpg,1,0,0
kitchen_0048.jpg,0,0,1
kitchen_0049.jpg,1,0,0
kitchen_0051.jpg,1,0,0
kitchen_0054.jpg,1,0,0
kitchen_0055.jpg,1,0,0
kitchen_0057.jpg,1,0,0
kitchen_0058.jpg,1,0,0
kitchen_0059.jpg,1,0,0
kitchen_0061.jpg,0,1,0
kitchen_0064.jpg,1,0,0
kitchen_0065.jpg,1,0,0
kitchen_0066.jpg,1,0,0
kitchen_0067.jpg,1,0,0
kitchen_0069.jpg,1,0,0
kitchen_gen_0001.jpg,1,0,0
kitchen_gen_0002.jpg,1,0,0
kitchen_gen_0003.jpg,1,0,0
kitchen_gen_0004.jpg,1,0,0
kitchen_gen_0005.jpg,0,1,0
kitchen_gen_0006.jpg,0,0,1
kitchen_gen_0007.jpg,1,0,0
kitchen_gen_0008.jpg,1,0,0
kitchen_gen_0009.jpg,0,0,1
kitchen_gen_0010.jpg,1,0,0
kitchen_gen_0011.jpg,1,0,0
kitchen_gen_0012.jpg,1,0,0
kitchen_gen_0013.jpg,1,0,0
kitchen_gen_0014.jpg,0,0,1
kitchen_gen_0015.jpg,1,0,0
kitchen_gen_0016.jpg,0,0,1
kitchen_gen_0017.jpg,1,0,0
kitchen_gen_0018.jpg,1,0,0
kitchen_gen_0019.jpg,1,0,0
kitchen_gen_0020.jpg,1,0,0
kitchen_gen_0021.jpg,0,0,1
kitchen_gen_0022.jpg,0,0,1
kitchen_gen_0023.jpg,0,0,1
kitchen_gen_0024.jpg,1,0,0
kitchen_gen_0025.jpg,1,0,0
kitchen_gen_0026.jpg,1,0,0
kitchen_gen_0027.jpg,0,0,1
kitchen_gen_0028.jpg,1,0,0
kitchen_gen_0029.jpg,0,0,1
kitchen_gen_0030.jpg,1,0,0
kitchen_gen_0031.jpg,1,0,0
kitchen_gen_0032.jpg,1,0,0
kitchen_gen_0033.jpg,1,0,0
kitchen_gen_0034.jpg,1,0,0
kitchen_gen_0035.jpg,0,0,1
kitchen_gen_0036.jpg,1,0,0
kitchen_gen_0037.jpg,1,0,0
kitchen_gen_0038.jpg,0,0,1
kitchen_gen_0039.jpg,1,0,0
kitchen_gen_0040.jpg,1,0,0
kitchen_gen_0041.jpg,0,1,0
kitchen_gen_0042.jpg,1,0,0
kitchen_gen_0043.jpg,0,0,1
kitchen_gen_0044.jpg,1,0,0
kitchen_gen_0045.jpg,1,0,0
kitchen_gen_0046.jpg,0,0,1
kitchen_gen_0047.jpg,1,0,0
kitchen_gen_0048.jpg,1,0,0
kitchen_gen_0049.jpg,0,1,0
kitchen_gen_0050.jpg,1,0,0
kitchen_gen_0051.jpg,1,0,0
kitchen_gen_0052.jpg,1,0,0
kitchen_gen_0053.jpg,1,0,0
kitchen_gen_0054.jpg,1,0,0
kitchen_gen_0055.jpg,1,0,0
kitchen_gen_0056.jpg,1,0,0
kitchen_gen_0057.jpg,0,1,0
kitchen_gen_0058.jpg,1,0,0
kitchen_gen_0059.jpg,1,0,0
kitchen_gen_0060.jpg,1,0,0
kitchen_gen_0061.jpg,1,0,0
kitchen_gen_0062.jpg,1,0,0
kitchen_gen_0063.jpg,1,0,0
kitchen_gen_0064.jpg,1,0,0
kitchen_gen_0065.jpg,1,0,0
kitchen_gen_0066.jpg,0,0,1
kitchen_gen_0067.jpg,1,0,0
kitchen_gen_0068.jpg,0,0,1
kitchen_gen_0069.jpg,1,0,0
kitchen_gen_0070.jpg,0,1,0
kitchen_gen_0071.jpg,0,1,0
kitchen_gen_0072.jpg,0,0,1
kitchen_gen_0073.jpg,0,1,0
kitchen_gen_0074.jpg,1,0,0
kitchen_gen_0075.jpg,1,0,0
kitchen_gen_0076.jpg,1,0,0
kitchen_gen_0077.jpg,1,0,0
kitchen_gen_0078.jpg,0,0,1
kitchen_gen_0079.jpg,0,1,0
kitchen_gen_0080.jpg,0,1,0
kitchen_gen_0081.jpg,1,0,0
kitchen_gen_0082.jpg,1,0,0
kitchen_gen_0083.jpg,1,0,0
kitchen_gen_0084.jpg,0,1,0
